title,category
Clockwork Angel; Clockwork Prince; Clockwork Princess,None
Demon from the Dark,None
The Archived,"""The"" One Word"
Partials,One Word
Pride and Prejudice and Zombies,___ and ___
Midnight Awakening,None
The Meat Market,The Adj Noun
Harry Potter Collection,None
End of Days,___ of ___
The Book of Life,___ of ___
The Hollow,"""The"" One Word"
The Exiled Queen,The Adj Noun
Dreamless,One Word
Le Morte d'Arthur: King Arthur and the Legends of the Round Table,___ of ___
Metro 2033,None
If You Could See Me Now,None
The Mysterious Benedict Society and the Prisoner's Dilemma,___ and ___
The Foundation Trilogy,The Adj Noun
"The Absolute Sandman, Volume One",None
Death with Interruptions,None
Keys to the Demon Prison,None
The Girl With All the Gifts,None
The Bloody Chamber and Other Stories,___ and ___
Homeland,One Word
Sundays at Tiffany's,None
Never Never,None
Pinocchio,One Word
Froi of the Exiles,___ of ___
Confessions of an Ugly Stepsister,___ of ___
Kiss of Crimson,___ of ___
Slated,One Word
His Majesty's Dragon,None
God Emperor of Dune,___ of ___
Einstein's Dreams,None
Skinny Legs and All,___ and ___
Fool's Errand,None
Light,One Word
Blood And Gold,___ and ___
Night Embrace,None
The Miserable Mill,The Adj Noun
Dragon Slippers,None
The Two Princesses of Bamarre,___ of ___
The Snow Child,The Adj Noun
The Transfer,"""The"" One Word"
Night School,None
Best Served Cold,None
Radiant Shadows,None
Raised by Wolves,None
My Wolf's Bane,None
Aztec,One Word
Sweet Peril,None
Illusions,One Word
The Amazing Maurice and His Educated Rodents,___ and ___
The Enchantress Returns,The Adj Noun
Entwined,One Word
Heir to the Empire,None
Magic's Pawn,None
Summer Knight,None
The Slow Regard of Silent Things,___ of ___
Foundation and Empire,___ and ___
Theft of Swords,___ of ___
Secrets of the Realm,___ of ___
Moving Pictures,None
Arrows of the Queen,___ of ___
The Lost World,The Adj Noun
Going Bovine,None
Millennium Approaches,None
Eona: The Last Dragoneye,None
My Name Is Memory,None
Tiger's Destiny,None
Nevermore,One Word
Eternal Kiss of Darkness,___ of ___
The Laughing Corpse,The Adj Noun
A Swiftly Tilting Planet,None
The Storyteller,"""The"" One Word"
Shades of Grey,___ of ___
The Witch of Portobello,___ of ___
The Warrior's Apprentice,The Adj Noun
Time's Arrow,None
These Broken Stars,None
The Sugar Queen,The Adj Noun
A Fistful of Charms,___ of ___
Carpe Jugulum,None
Abarat,One Word
The Chrysalids,"""The"" One Word"
Bloodrose,One Word
The Dark Is Rising,None
The Golem and the Jinni,___ and ___
Red Seas Under Red Skies,None
Styxx,One Word
Evoke,One Word
The Grim Grotto,The Adj Noun
Beautiful Redemption,None
The Yiddish Policemen's Union,None
The City & the City,___ and ___
The Child Thief,The Adj Noun
"Little, Big",None
Wolf Brother,None
The Winner's Crime,The Adj Noun
Ruin and Rising,___ and ___
The Sorceress,"""The"" One Word"
Children of the Mind,___ of ___
Wolfsbane,One Word
The One and Only Ivan,___ and ___
Men at Arms,None
Lights on the Sea,None
The Strain,"""The"" One Word"
The Complete Wreck,The Adj Noun
Wool,One Word
Maskerade,One Word
Emperor Mage,None
The Merchant of Death,___ of ___
The School for Good and Evil,___ and ___
Narcissus in Chains,None
Last Argument of Kings,___ of ___
The Queen of Nothing,___ of ___
Stray,One Word
Revenge of the Witch,___ of ___
Fool Moon,None
Touch of Power,___ of ___
The Lathe of Heaven,___ of ___
The Aleph and Other Stories,___ and ___
Once Burned,None
Time Enough for Love,None
The Retribution of Mara Dyer,___ of ___
The Tale of Peter Rabbit,___ of ___
Bloody Bones,None
No Rest for the Wicked,None
Half Bad,None
Black Dagger Brotherhood: Boxed Set #1-6,None
A Court of Frost and Starlight,___ of ___
Tail of the Devil,___ of ___
On a Pale Horse,None
Burnt Offerings,None
Evil Among Us,None
The Dragonriders of Pern,___ of ___
Kiss of Death,___ of ___
Jessica's Guide to Dating on the Dark Side,None
The Gods Themselves,The Adj Noun
The Penultimate Peril,The Adj Noun
The Black Dagger Brotherhood: An Insider's Guide,None
The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror,___ of ___
Magic Slays,None
Knife of Dreams,___ of ___
Lord of Shadows,___ of ___
Harry Potter and the Methods of Rationality,___ of ___
Lioness Rampant,None
Her Fearful Symmetry,None
Altered Carbon,None
Lord Foul's Bane,None
The Declaration,"""The"" One Word"
A Princess of Mars,___ of ___
Devil May Cry,None
Ghost Town,None
Squire,One Word
Changes,One Word
Batman: Year One,None
Wintersmith,One Word
Blood in the Skies,None
The Mote in God's Eye,None
The Drowned World,The Adj Noun
The Rise of Mallory,___ of ___
Mack,One Word
The Woman Who Rides Like a Man,None
"The Walking Dead, Vol. 1: Days Gone Bye",None
Lodestar,One Word
The Darkest Hour,The Adj Noun
My Blood Approves,None
"Y: The Last Man, Vol. 1: Unmanned",None
Shades of Earth,___ of ___
The Rose Society,The Adj Noun
Twice Bitten,None
Airhead,One Word
Relic,One Word
Revolution,One Word
The Secret of the Nagas,___ of ___
Succubus on Top,None
Grave Peril,None
Fool,One Word
Earth Abides,None
"The Dark Tower Series Collection: The Gunslinger, The Drawing of the Three, The Waste Lands, Wizard and Glass, Wolves of the Calla, Song of Susannah, The Dark Tower",___ of ___
Daemon,One Word
The Confusion,"""The"" One Word"
"White Witch, Black Curse",None
Tarzan of the Apes,___ of ___
The Name of the Star,___ of ___
For a Few Demons More,None
The Island of Doctor Moreau,___ of ___
Making Money,None
Genghis: Birth of an Empire,___ of ___
The Mad Ship,The Adj Noun
Blood of Elves,___ of ___
UnEnchanted,One Word
The Tombs of Atuan,___ of ___
Cell,One Word
Of Poseidon,None
The System of the World,___ of ___
The Eternity Cure,The Adj Noun
A Grimm Warning,None
Erak's Ransom,None
The Crimson Crown,The Adj Noun
Blood of the Fold,___ of ___
City of Golden Shadow,___ of ___
Children of Dune,___ of ___
Use of Weapons,___ of ___
Reunion,One Word
The Hostile Hospital,The Adj Noun
Poison Princess,None
The Necromancer,"""The"" One Word"
Lord of Light,___ of ___
Gormenghast,One Word
The Secret Hour,The Adj Noun
The Warrior Heir,The Adj Noun
Destined,One Word
Pyramids,One Word
Touch of Frost,___ of ___
Witch & Wizard,___ and ___
Ordeal,One Word
The Carnivorous Carnival,The Adj Noun
Piercing the Darkness,None
Jingo,One Word
Queen of the Darkness,___ of ___
The Magician,"""The"" One Word"
Labyrinth,One Word
Phantom,One Word
The Complete Fairy Tales,None
The Jungle Book,The Adj Noun
Fantastic Beasts and Where to Find Them: The Original Screenplay,___ and ___
Hunting Ground,None
Thinner,One Word
The Kings of Clonmel,___ of ___
The Lunatic Cafe,The Adj Noun
Lord Loss,None
The Program,"""The"" One Word"
Proven Guilty,None
Sweet Reckoning,None
Winter's Tale,None
The First Fifteen Lives of Harry August,___ of ___
Ethereal Fury,None
Forever,One Word
Caressed by Ice,None
Winter's Heart,None
Cruel Beauty,None
The Age of Miracles,___ of ___
Fantastic Mr. Fox,None
The Fall of Five,___ of ___
The Queen of Attolia,___ of ___
A Fire Upon the Deep,None
In The Afterlight,None
Bloody Jack,None
Haunted,One Word
Elixir,One Word
The Night Angel Trilogy,None
Leviathan Wakes,None
The Blinding Knife,The Adj Noun
Here Be Dragons,None
The Dead-Tossed Waves,The Adj Noun
Forsaken,One Word
The Darkest Kiss,The Adj Noun
Playing with Fire,None
Deadly Little Secret,None
The Outsider,"""The"" One Word"
The Thief of Always,___ of ___
The Opal Deception,The Adj Noun
Lost Souls,None
The Club Dumas,The Adj Noun
The Demigod Diaries,The Adj Noun
Night Star,None
The White Dragon,The Adj Noun
The Time Paradox,The Adj Noun
The Siege of Macindaw,___ of ___
Fragile Things: Short Fictions and Wonders,___ and ___
In the Hand of the Goddess,___ of ___
Monument 14,None
The Outlaw Demon Wails,None
Darkest Hour,None
Abraham Lincoln: Vampire Hunter,None
A Hat Full of Sky,___ of ___
Vampire Kisses: The Beginning,None
Soul of the Fire,___ of ___
Ninth Key,None
A Song of Ice and Fire,___ of ___
The Humans,"""The"" One Word"
Awake at Dawn,None
The Twilight Saga Complete Collection,None
Dr. Seuss's ABC,None
Unleash the Night,None
The Rising,"""The"" One Word"
Dealing with Dragons,None
The Arrival,"""The"" One Word"
Deep World Fire,None
A Thousand Pieces of You,___ of ___
Terrier,One Word
Rot & Ruin,___ and ___
Thr3e,One Word
The Farthest Shore,The Adj Noun
Brief Lives,None
The Steward,"""The"" One Word"
Abandon,One Word
Lady Knight,None
What the Wind Knows,None
Fire and Ice,___ and ___
A Touch of Dead,___ of ___
The Magician's Apprentice,The Adj Noun
Song of Susannah,___ of ___
The Dark and Hollow Places,___ and ___
Visions,One Word
Before They Are Hanged,None
Echo,One Word
Desperation,One Word
The Dragon Heir,The Adj Noun
Defiance,One Word
Providence,One Word
Sandry's Book,None
The Gray House,The Adj Noun
The Fairy-Tale Detectives,The Adj Noun
The Emperor of Nihon-Ja,___ of ___
East,One Word
The Faceless Ones,The Adj Noun
Hawksong,One Word
The Initiation / The Captive Part I,None
Midnight Rising,None
Kushiel's Avatar,None
Queen of Air and Darkness,___ of ___
The Great and Secret Show,___ and ___
Succubus Heat,None
The Realms of the Gods,___ of ___
Landline,One Word
River Marked,None
Wolf-Speaker,One Word
Norse Mythology,None
Forest of Secrets,___ of ___
"Naruto, Vol. 01: Uzumaki Naruto",None
Princess of the Midnight Ball,___ of ___
The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making,___ of ___
Luck in the Shadows,None
Tommaso,One Word
Savvy,One Word
The Looking Glass Wars,None
Gardens of the Moon,___ of ___
This Savage Song,None
Golden Fool,None
"The Chronicles of Thomas Covenant, the Unbeliever",___ of ___
Covet,One Word
Baudolino,One Word
The Elfstones of Shannara,___ of ___
The Monk,"""The"" One Word"
Crossroads of Twilight,___ of ___
The Dark Divine,The Adj Noun
Dragonsong,One Word
The Screaming Staircase,The Adj Noun
The Hundred Thousand Kingdoms,None
"Flow My Tears, the Policeman Said",None
Bone: The Complete Edition,None
Assassin's Quest,None
Through the Looking-Glass and What Alice Found There,___ and ___
Snow Like Ashes,None
Vampire Kisses,None
Dragon Rider,None
The Ruby Circle,The Adj Noun
D'Aulaires' Book of Greek Myths,___ of ___
Hounded,One Word
The Magic Faraway Tree,None
Finding Sky,None
Number 13,None
Hades,One Word
A Hidden Fire,None
The Girl Who Chased the Moon,None
Supernatural Hero,None
Chainfire,One Word
Ancillary Justice,None
Mossflower,One Word
Child of the Prophecy,___ of ___
The Enchantress,"""The"" One Word"
A Crown of Swords,___ of ___
Fairest,One Word
At the Mountains of Madness,___ of ___
A Deepness in the Sky,None
The Lost Prince,The Adj Noun
The Mysterious Stranger,The Adj Noun
Jinx,One Word
Dragonsinger,One Word
The Three Stigmata of Palmer Eldritch,___ of ___
Worm,One Word
A Job From Hell,None
Page,One Word
Arrow of the Mist,___ of ___
Waterfall,One Word
Rumo & His Miraculous Adventures,___ and ___
A Spell for Chameleon,None
Hard Bitten,None
The Adoration of Jenna Fox,___ of ___
Succubus Dreams,None
Infinite Days,None
The Haunted,"""The"" One Word"
MaddAddam,One Word
The Republic of Thieves,___ of ___
The 7½ Deaths of Evelyn Hardcastle,___ of ___
Origins,One Word
Daughter of the Blood,___ of ___
Sookie Stackhouse 8 Volume Set,None
Eve,One Word
Morning Star,None
The Atlantis Complex,The Adj Noun
The Catastrophic History of You and Me,___ of ___
Everlasting,One Word
The Gathering,"""The"" One Word"
House of Earth and Blood,___ of ___
The Devouring,"""The"" One Word"
Unite Me,None
Invitation to a Beheading,None
"Mio, My Son",None
Sleeping Beauties,None
Dark Days,None
The Dark Half,The Adj Noun
The Vile Village,The Adj Noun
Cosmicomics,One Word
Thunderhead,One Word
Rising Storm,None
Iron Crowned,None
Percy Jackson and the Olympians Boxed Set,___ and ___
Touch the Dark,None
Dr. Faustus,None
Bluestar's Prophecy,None
The Queen of the Tearling,___ of ___
Shadow & Claw,___ and ___
Phantoms,One Word
Shadows,One Word
Renegades,One Word
Bite Club,None
The City and the Stars,___ and ___
Heart of Obsidian,___ of ___
Pattern Recognition,None
Deadhouse Gates,None
The Prisoner of Cell 25,___ of ___
Heir of Novron,___ of ___
A Torch Against the Night,None
VALIS,One Word
Consider Phlebas,None
Inside Out,None
The Crown,"""The"" One Word"
Vanish,One Word
Legendary,One Word
Dreams Made Flesh,None
Disney After Dark,None
Nine Princes in Amber,None
The Three-Body Problem,The Adj Noun
The Prisoner of Heaven,___ of ___
Origins,One Word
Thorn Queen,None
Sons of Destiny,___ of ___
Rivers of London,___ of ___
Seize the Night,None
Goblinheart,One Word
Godsgrave,One Word
The Wizard Heir,The Adj Noun
Forest Born,None
The Death and Life of Charlie St. Cloud,___ of ___
The Devil and Miss Prym,___ and ___
The Chronicles of Prydain,___ of ___
The Robber Bride,The Adj Noun
The Rootless,"""The"" One Word"
Charmed Life,None
Nightfall,One Word
"Bleach, Volume 01",None
Recursion,One Word
The Tiger's Wife,The Adj Noun
Through the Zombie Glass,None
The Last Sunset,The Adj Noun
Raven's Gate,None
The Running Man,The Adj Noun
The Borrowers,"""The"" One Word"
The People of Sparks,___ of ___
Death Masks,None
Legacy,One Word
Succubus Shadows,None
Martin the Warrior,None
Betrayals,One Word
Angel Fire,None
Goddess,One Word
The Outcasts,"""The"" One Word"
The Coldest Girl in Coldtown,None
The World of Divergent: The Path to Allegiant,___ of ___
Peeps,One Word
Magician: Apprentice,None
Obsession,One Word
The Complete Grimm's Fairy Tales,None
The Caves of Steel,___ of ___
A Dangerous Path,None
Son,One Word
Stolen,One Word
Halt's Peril,None
The Windup Girl,The Adj Noun
"Twilight: The Graphic Novel, Vol. 1",None
The Demolished Man,The Adj Noun
My Grandmother Asked Me to Tell You She's Sorry,None
The Girl Who Could Fly,None
Succubus Revealed,None
Death Note Box Set,None
The Gray Wolf Throne,None
This Book Is Not Good for You,None
Friday Night Bites,None
The Dragonet Prophecy,The Adj Noun
War with the Newts,None
Skyward,One Word
Kiss of Snow,___ of ___
The Enemy,"""The"" One Word"
Half Magic,None
Jealousy,One Word
Mrs. Piggle-Wiggle,None
Until I Die,None
Seventh Son,None
The Canterville Ghost,The Adj Noun
Turn Coat,None
Inescapable,One Word
Crossroads,One Word
Defiance,One Word
The Path of Daggers,___ of ___
Fated,One Word
The Ring of Solomon,___ of ___
The Girl of Fire and Thorns,___ of ___
Second Grave on the Left,None
The Fionavar Tapestry,The Adj Noun
The Anubis Gates,The Adj Noun
Daimon,One Word
The Zombie Survival Guide: Complete Protection from the Living Dead,None
A World Without Heroes,None
Sisters Red,None
Transcendence,One Word
The King,"""The"" One Word"
Passion Unleashed,None
Goddess of Spring,___ of ___
The Belgariad Boxed Set: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit / Castle of Wizardry / Enchanters' End Game,___ of ___
Merrick,One Word
Children of God,___ of ___
A Kiss of Shadows,___ of ___
Haunted,One Word
Inside Divergent: The Initiate's World,None
Sole Survivor,None
The Captive Part II / The Power,None
Stars Above,None
Girlfriend in a Coma,None
The Deed of Paksenarrion,___ of ___
Academ's Fury,None
Nimona,One Word
The Gone-Away World,The Adj Noun
Immortal Beloved,None
A Caress of Twilight,___ of ___
George's Marvellous Medicine,None
Dark Desire,None
Ceaseless,One Word
The Invention of Morel,___ of ___
White Night,None
The Wheel of Time: Boxed Set,___ of ___
Rose Madder,None
The Oath,"""The"" One Word"
White Cat,None
The End of Mr. Y,___ of ___
The Faraway Tree Stories,None
"Deathless (Leningrad Diptych, #1)",None
Every Heart a Doorway,None
Ash,One Word
The Unwanteds,"""The"" One Word"
"Harry Potter and the Order of the Phoenix (Harry Potter, #5, Part 1)",___ of ___
Carmilla,One Word
Blood Destiny,None
Priestess of the White,___ of ___
The Pale Horseman,The Adj Noun
A Quick Bite,None
